NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.1_02,1.2_02,1.1_02,1.2_01
AxisAlignedBB,ct,db,el,fa,Axis aligned bounding box
Block,og,pj,gv,hr,Base class and manager for block types
BlockBloodStone,qq,sa,km,lr,*
BlockBookshelf,eo,fa,gy,hu,*
BlockBreakable,gi,gw,ix,jy,Base class for glass and ice (not used directly)
BlockButton,jm,ke,aw,bb,*
BlockCactus,jt,kl,ba,bg,*
BlockCake,*,pc,*,hn,*
BlockChest,c,c,c,d,*
BlockClay,ma,mx,dy,el,*
BlockCloth,*,cu,*,eq,*
BlockContainer,ly,mv,du,eg,Base class for block that can have content (not used directly)
BlockCrops,iu,jm,s,w,*
BlockDirt,ju,km,bc,bi,*
BlockDispenser,*,rj,*,lb,*
BlockDoor,hg,hv,kn,lt,Block used for wooden door and iron door
BlockFence,gn,hb,je,kg,*
BlockFire,qw,sh,kv,mc,*
BlockFlower,pa,qg,ik,jk,*
BlockFlowing,jp,kh,az,be,Block used for flowing water and lava
BlockFluids,lu,mq,dn,dz,Base class for fluids (not used directly)
BlockFurnace,na,ny,fb,fr,*
BlockGlass,dj,dt,fl,gb,*
BlockGrass,pi,qp,iy,jz,*
BlockGravel,iq,jh,p,s,*
BlockIce,iv,jn,t,x,*
BlockJukeBox,dl,dv,fp,gf,*
BlockLadder,cd,ck,do,ea,*
BlockLeaves,an,at,bi,bp,*
BlockLeavesBase,iz,jr,w,aa,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
BlockLever,qb,rk,jy,lc,*
BlockLightStone,hv,il,ll,ms,*
BlockLog,oo,ps,hm,ij,*
BlockMinecartTrack,kc,ku,bl,bs,*
BlockMobSpawner,bt,ca,cy,di,*
BlockMushroom,ni,og,fr,gh,*
BlockNote,*,lh,*,cj,*
BlockObsidian,db,dl,fe,fu,*
BlockOre,im,jd,k,m,"Block used for gold, iron, diamond and coal"
BlockOreBlock,e,g,n,q,"Block used for gold, diamond and iron blocks"
BlockPortal,y,ab,ao,as,*
BlockPressurePlate,as,az,bo,bw,*
BlockPumpkin,dc,dm,fd,ft,*
BlockRedstoneOre,aq,aw,bm,bt,*
BlockRedstoneTorch,bq,bx,cu,de,*
BlockRedstoneWire,mm,nk,em,fb,*
BlockReed,lq,mm,df,dr,*
BlockSand,ed,en,gl,hf,*
BlockSandStone,*,mi,*,dl,*
BlockSapling,eq,fc,ha,hw,*
BlockSign,ny,pa,go,hi,Block used for standing signs and wall signs
BlockSlowSand,jh,jz,ai,am,*
BlockSnow,gj,gx,ja,kb,*
BlockSnowBlock,t,v,ab,af,*
BlockSoil,oq,pu,hs,ip,*
BlockSponge,pt,rb,jp,kr,*
BlockStairs,ms,nq,et,fi,*
BlockStationary,jf,jx,af,aj,Block used for stationary water and lava
BlockStep,qy,sj,kz,mg,Block used for half step and double step
BlockStone,cs,da,ej,ey,*
BlockTNT,w,z,ah,al,*
BlockTorch,or,pv,hv,is,*
BlockWorkbench,di,ds,fk,ga,*
CanvasCrashReport,pm,qu,*,*,*
CanvasIsomPreview,ai,an,*,*,Canvas used for drawing the isometric preview
CanvasMajongLogo,dv,ef,*,*,*
CanvasMinecraftApplet,j,l,*,*,*
ChatLine,mv,nt,*,*,*
Chunk,hl,ib,kx,me,Chunk of blocks in the world (16x16x128 blocks)
ChunkCache,cx,dg,ex,fm,Caches a bunch of chunks of the world
ChunkCoordinates,it,jl,lb,mi,*
ChunkCoordIntPair,rc,sn,lk,mr,"Pair of integers used as index of chunk (x,z)."
ChunkLoader,nk,oj,fy,go,Implementation of chunk loader
ChunkPosition,pd,qj,iq,jq,*
ChunkProviderClient,oh,pk,*,*,Chunk provider which loads chunks from the server
ChunkProviderGenerate,qn,rx,ki,ln,Chunk provider which generates new chunks (used by other chunk providers)
ChunkProviderHell,kz,lt,ck,ct,*
ChunkProviderIso,cz,di,*,*,Chunk provider for iso preview client
ChunkProviderLoadOrGenerate,hc,hr,ke,lj,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
ChunkProviderServer,*,*,ks,ly,Chunk provider which manages chunks on the server for all clients
ClippingHelper,cf,cm,*,*,*
ClippingHelperImplementation,p,r,*,*,*
CodecMus,fs,ge,*,*,Audio codec for .mus files.
ColorizerFoliage,gd,gr,*,*,*
